"","artist_name","track_name","energy","danceability","energy.1","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","jack"
"44","Lana Del Rey","Cherry",0.534,0.449,0.534,8,-9.493,0,0.0494,0.048,0.0011,0.384,0.342,94.261,"0"
"45","Lana Del Rey","White Mustang",0.46,0.658,0.46,6,-8.646,0,0.0444,0.456,0.00111,0.0963,0.223,114.801,"0"
"46","Lana Del Rey","Summer Bummer (feat. A$AP Rocky & Playboi Carti)",0.574,0.76,0.574,1,-8.57,1,0.126,0.0155,2.02e-05,0.199,0.137,134.981,"0"
"47","Lana Del Rey","Groupie Love (feat. A$AP Rocky)",0.6,0.359,0.6,9,-7.317,1,0.0398,0.113,1.32e-06,0.0952,0.195,175.894,"0"
"48","Lana Del Rey","In My Feelings",0.674,0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.112,0.309,89.933,"0"
"49","Lana Del Rey","Coachella - Woodstock In My Mind",0.658,0.535,0.658,7,-7.425,1,0.0998,0.189,4.11e-05,0.0683,0.413,129.835,"0"
"50","Lana Del Rey","God Bless America - And All The Beautiful Women In It",0.697,0.374,0.697,9,-6.544,1,0.0637,0.411,0.211,0.122,0.244,87.96,"0"
"51","Lana Del Rey","When The World Was At War We Kept Dancing",0.605,0.616,0.605,7,-7.234,1,0.0343,0.097,0.00812,0.165,0.185,116.031,"0"
"52","Lana Del Rey","Beautiful People Beautiful Problems (feat. Stevie Nicks)",0.43,0.509,0.43,5,-8.387,1,0.0325,0.834,0.000854,0.0927,0.128,122.919,"0"
"53","Lana Del Rey","Tomorrow Never Came (feat. Sean Ono Lennon)",0.402,0.297,0.402,0,-9.757,1,0.0346,0.819,0.000181,0.109,0.177,138.019,"0"
"54","Lana Del Rey","Heroin",0.41,0.352,0.41,11,-8.796,0,0.0388,0.556,0.0113,0.114,0.0952,118.721,"0"
"55","Lana Del Rey","Change",0.246,0.558,0.246,9,-10.914,0,0.0409,0.942,0.00875,0.106,0.303,85.672,"0"
"56","Lana Del Rey","Get Free",0.472,0.205,0.472,10,-10.45,1,0.0718,0.498,0.000792,0.0953,0.0392,203.944,"0"
"57","Lana Del Rey","Love",0.366,0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,"0"
"58","Lana Del Rey","Lust For Life (with The Weeknd)",0.655,0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,"0"
"59","Lana Del Rey","13 Beaches",0.389,0.333,0.389,7,-9.132,1,0.0364,0.539,0.0772,0.163,0.25,144.204,"0"
"60","Lana Del Rey","Cherry",0.534,0.449,0.534,8,-9.493,0,0.0494,0.048,0.0011,0.384,0.342,94.261,"0"
"61","Lana Del Rey","White Mustang",0.46,0.658,0.46,6,-8.646,0,0.0444,0.456,0.00111,0.0963,0.223,114.801,"0"
"62","Lana Del Rey","Summer Bummer (feat. A$AP Rocky & Playboi Carti)",0.574,0.76,0.574,1,-8.57,1,0.126,0.0155,2.02e-05,0.199,0.137,134.981,"0"
"63","Lana Del Rey","Groupie Love (feat. A$AP Rocky)",0.6,0.359,0.6,9,-7.317,1,0.0398,0.113,1.32e-06,0.0952,0.195,175.894,"0"
"64","Lana Del Rey","In My Feelings",0.674,0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.112,0.309,89.933,"0"
"65","Lana Del Rey","Coachella - Woodstock In My Mind",0.658,0.535,0.658,7,-7.425,1,0.0998,0.189,4.11e-05,0.0683,0.413,129.835,"0"
"66","Lana Del Rey","God Bless America - And All The Beautiful Women In It",0.697,0.374,0.697,9,-6.544,1,0.0637,0.411,0.211,0.122,0.244,87.96,"0"
"67","Lana Del Rey","When The World Was At War We Kept Dancing",0.605,0.616,0.605,7,-7.234,1,0.0343,0.097,0.00812,0.165,0.185,116.031,"0"
"68","Lana Del Rey","Beautiful People Beautiful Problems (feat. Stevie Nicks)",0.43,0.509,0.43,5,-8.387,1,0.0325,0.834,0.000854,0.0927,0.128,122.919,"0"
"69","Lana Del Rey","Tomorrow Never Came (feat. Sean Ono Lennon)",0.402,0.297,0.402,0,-9.757,1,0.0346,0.819,0.000181,0.109,0.177,138.019,"0"
"70","Lana Del Rey","Heroin",0.41,0.352,0.41,11,-8.796,0,0.0388,0.556,0.0113,0.114,0.0952,118.721,"0"
"71","Lana Del Rey","Change",0.246,0.558,0.246,9,-10.914,0,0.0409,0.942,0.00875,0.106,0.303,85.672,"0"
"72","Lana Del Rey","Get Free",0.472,0.205,0.472,10,-10.45,1,0.0718,0.498,0.000792,0.0953,0.0392,203.944,"0"
"73","Lana Del Rey","Love",0.366,0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,"0"
"74","Lana Del Rey","Lust For Life (with The Weeknd)",0.655,0.504,0.655,0,-8.644,0,0.0542,0.604,0.00193,0.364,0.262,99.982,"0"
"75","Lana Del Rey","13 Beaches",0.389,0.333,0.389,7,-9.132,1,0.0364,0.539,0.0772,0.163,0.25,144.204,"0"
"76","Lana Del Rey","Cherry",0.536,0.358,0.536,8,-9.55,0,0.075,0.0514,0.0017,0.365,0.303,122.676,"0"
"77","Lana Del Rey","White Mustang",0.46,0.675,0.46,6,-8.646,0,0.0426,0.456,0.00111,0.0964,0.226,114.844,"0"
"78","Lana Del Rey","Summer Bummer (feat. A$AP Rocky & Playboi Carti)",0.558,0.761,0.558,1,-8.579,1,0.138,0.0171,1.64e-05,0.177,0.122,134.985,"0"
"79","Lana Del Rey","Groupie Love (feat. A$AP Rocky)",0.597,0.337,0.597,9,-7.384,1,0.039,0.0999,4.16e-06,0.0954,0.178,175.792,"0"
"80","Lana Del Rey","In My Feelings",0.712,0.525,0.712,11,-6.37,0,0.125,0.0429,0.0293,0.114,0.286,89.901,"0"
"81","Lana Del Rey","Coachella - Woodstock In My Mind",0.658,0.535,0.658,7,-7.425,1,0.0998,0.189,4.11e-05,0.0683,0.413,129.835,"0"
"82","Lana Del Rey","God Bless America - And All The Beautiful Women In It",0.697,0.374,0.697,9,-6.544,1,0.0637,0.411,0.211,0.122,0.244,87.959,"0"
"83","Lana Del Rey","When The World Was At War We Kept Dancing",0.604,0.619,0.604,7,-7.187,1,0.0336,0.129,0.0119,0.16,0.194,116.016,"0"
"84","Lana Del Rey","Beautiful People Beautiful Problems (feat. Stevie Nicks)",0.43,0.509,0.43,5,-8.387,1,0.0325,0.834,0.000854,0.0927,0.128,122.919,"0"
"85","Lana Del Rey","Tomorrow Never Came (feat. Sean Ono Lennon)",0.402,0.297,0.402,0,-9.757,1,0.0346,0.819,0.000181,0.109,0.177,138.019,"0"
"86","Lana Del Rey","Heroin",0.408,0.249,0.408,11,-8.833,0,0.0515,0.568,0.00672,0.113,0.0905,65.148,"0"
"87","Lana Del Rey","Change",0.246,0.558,0.246,9,-10.914,0,0.0409,0.942,0.00875,0.106,0.303,85.675,"0"
"88","Lana Del Rey","Get Free",0.472,0.205,0.472,10,-10.45,1,0.0718,0.498,0.000792,0.0953,0.0392,203.944,"0"
"89","Lana Del Rey","Honeymoon",0.269,0.169,0.269,5,-13.265,0,0.036,0.953,0.00828,0.111,0.173,74.847,"0"
"90","Lana Del Rey","Music To Watch Boys To",0.494,0.4,0.494,1,-8.04,0,0.0367,0.713,0.000334,0.238,0.134,132.016,"0"
"91","Lana Del Rey","Terrence Loves You",0.25,0.296,0.25,7,-10.088,1,0.0314,0.975,0.0187,0.0988,0.0898,102.031,"0"
"92","Lana Del Rey","God Knows I Tried",0.428,0.398,0.428,5,-8.292,0,0.0275,0.846,0.0338,0.185,0.111,81.017,"0"
"93","Lana Del Rey","High By The Beach",0.486,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,"0"
"94","Lana Del Rey","Freak",0.43,0.287,0.43,5,-10.014,0,0.033,0.269,0.000579,0.32,0.109,93.984,"0"
"95","Lana Del Rey","Art Deco",0.464,0.282,0.464,11,-11.112,0,0.0533,0.544,0.215,0.111,0.0596,148.345,"0"
"96","Lana Del Rey","Burnt Norton - Interlude",0.304,0.28,0.304,8,-18.57,1,0.0359,0.9,0.806,0.135,0.523,85.765,"0"
"97","Lana Del Rey","Religion",0.459,0.416,0.459,9,-9.977,0,0.0366,0.813,0.0428,0.102,0.175,135.689,"0"
"98","Lana Del Rey","Salvatore",0.311,0.304,0.311,11,-9.647,0,0.0344,0.675,0.00195,0.12,0.115,117.68,"0"
"99","Lana Del Rey","The Blackest Day",0.522,0.445,0.522,2,-8.007,1,0.0331,0.363,0.000487,0.0797,0.162,107.752,"0"
"100","Lana Del Rey","24",0.372,0.284,0.372,8,-9.821,0,0.0356,0.782,0.000183,0.103,0.0853,98.181,"0"
"101","Lana Del Rey","Swan Song",0.361,0.34,0.361,1,-11.567,0,0.0294,0.636,0.421,0.259,0.0392,81.765,"0"
"102","Lana Del Rey","Don't Let Me Be Misunderstood",0.351,0.327,0.351,9,-10.488,0,0.0327,0.316,5.93e-06,0.107,0.063,80.386,"0"
"103","Lana Del Rey","Honeymoon",0.269,0.169,0.269,5,-13.265,0,0.036,0.953,0.00828,0.111,0.173,74.847,"0"
"104","Lana Del Rey","Music To Watch Boys To",0.494,0.4,0.494,1,-8.04,0,0.0367,0.713,0.000334,0.238,0.134,132.016,"0"
"105","Lana Del Rey","Terrence Loves You",0.25,0.296,0.25,7,-10.088,1,0.0314,0.975,0.0187,0.0988,0.0898,102.031,"0"
"106","Lana Del Rey","God Knows I Tried",0.428,0.398,0.428,5,-8.292,0,0.0275,0.846,0.0338,0.185,0.111,81.017,"0"
"107","Lana Del Rey","High By The Beach",0.486,0.536,0.486,11,-11.067,0,0.0346,0.244,0.00788,0.12,0.0968,131.988,"0"
"108","Lana Del Rey","Freak",0.43,0.287,0.43,5,-10.014,0,0.033,0.269,0.000579,0.32,0.109,93.984,"0"
