producer,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
epworth,0.515,0.818,-4.546,1,0.0541,0.0612,1.63e-5,0.0736,0.623,154.974
epworth,0.718,0.65,-5.68,1,0.232,0.12,2.16e-4,0.144,0.457,151.969
epworth,0.605,0.942,-4.549,1,0.0655,0.016,0,0.137,0.8,106.562
epworth,0.635,0.821,-5.53,1,0.0349,0.174,4.28e-5,0.0909,0.708,123.994
epworth,0.593,0.576,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935
epworth,0.832,0.783,-6.133,1,0.0895,0.0164,0.0028,0.0658,0.761,114.985
epworth,0.599,0.717,-4.904,1,0.0739,0.014,1.35e-6,0.244,0.808,97.521
epworth,0.476,0.771,-5.99,1,0.0642,0.2,2.76e-6,0.414,0.484,111.979
epworth,0.536,0.314,-11.235,0,0.0299,0.686,8.65e-4,0.191,0.367,109.857
epworth,0.729,0.482,-7.107,0,0.0376,0.52,0,0.091,0.604,89.023
epworth,0.647,0.461,-9.073,1,0.0578,0.804,2.71e-6,0.169,0.529,76.386
epworth,0.789,0.808,-6.176,1,0.0881,0.148,1.32e-5,0.84,0.803,123.011
epworth,0.892,0.24,-14.154,1,0.14,0.854,1.37e-4,0.0902,0.42,109.973
epworth,0.532,0.132,-12.511,1,0.0455,0.955,0.00359,0.0705,0.159,129.713
epworth,0.531,0.178,-18.002,1,0.0311,0.807,0.478,0.0566,0.191,91.706
epworth,0.826,0.816,-7.345,1,0.345,0.0581,0.00938,0.0593,0.43,156.995
epworth,0.341,0.658,-10.166,0,0.033,0.317,0.831,0.371,0.629,126.016
epworth,0.508,0.72,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983
epworth,0.532,0.355,-10.924,1,0.0413,0.281,1.65e-4,0.239,0.166,178.714
epworth,0.891,0.711,-4.429,1,0.332,0.475,0,0.227,0.743,138.31
epworth,0.794,0.735,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374
epworth,0.528,0.988,-2.212,1,0.228,0.00802,2.22e-6,0.237,0.361,163.086
epworth,0.516,0.344,-10.814,1,0.029,0.603,1.98e-6,0.0987,0.172,148.02
epworth,0.555,0.96,-2.45,0,0.0733,2.05e-5,0.433,0.167,0.569,145.054
epworth,0.472,0.793,-6.112,0,0.065,0.248,0,0.0951,0.181,150.066
epworth,0.415,0.891,-5.014,1,0.036,2.18e-5,0.39,0.379,0.248,156.03
epworth,0.473,0.526,-8.312,1,0.267,0.162,0,0.136,0.112,167.03
epworth,0.386,0.932,-3.502,1,0.0484,4.55e-4,2.94e-4,0.123,0.676,150.058
epworth,0.556,0.819,-5.43,1,0.127,0.169,0,0.097,0.638,117.721
epworth,0.659,0.93,-5.084,1,0.043,0.00634,0.177,0.104,0.546,135.977
epworth,0.732,0.604,-8.513,0,0.241,0.145,0,0.365,0.479,94.035
epworth,0.268,0.246,-13.175,1,0.0337,0.815,0.0507,0.107,0.129,179.108
epworth,0.424,0.381,-11.471,1,0.042,0.645,0.0908,0.122,0.553,83.573
epworth,0.698,0.43,-12.891,0,0.0359,0.146,0.153,0.0738,0.62,119.916
epworth,0.544,0.811,-3.801,1,0.0583,0.098,0,0.235,0.723,73.93
epworth,0.495,0.879,-5.046,0,0.0334,8.63e-4,0.343,0.101,0.544,135.987
epworth,0.527,0.529,-9.072,1,0.0308,0.429,6.59e-4,0.11,0.237,118.028
epworth,0.607,0.853,-3.524,0,0.0443,0.0553,3e-5,0.301,0.389,116.977
epworth,0.705,0.735,-6.646,1,0.0931,0.028,0.0783,0.112,0.448,132.627
epworth,0.524,0.803,-5.56,0,0.0366,0.145,1.91e-4,0.115,0.0827,140.003
epworth,0.448,0.869,-4.616,1,0.177,0.165,6.25e-5,0.32,0.232,184.042
epworth,0.514,0.73,-5.934,1,0.0598,0.00146,9.54e-5,0.0897,0.334,171.005
epworth,0.487,0.957,-4.748,1,0.0643,3.15e-4,0.0018600000000000001,0.113,0.136,173.981
epworth,0.261,0.302,-8.19,0,0.0339,0.769,2.57e-6,0.0863,0.0883,81.418
epworth,0.528,0.941,-1.596,1,0.193,0.168,4.98e-4,0.0931,0.466,128.904
epworth,0.543,0.39,-7.202,1,0.0322,0.489,0,0.111,0.303,73.415
epworth,0.552,0.695,-5.81,0,0.0334,0.0186,0.011,0.116,0.299,126
epworth,0.217,0.664,-3.961,0,0.0724,0.119,1.09e-5,0.379,0.0439,95.019
epworth,0.756,0.551,-5.788,0,0.0406,0.706,0,0.186,0.59,118.047
epworth,0.313,0.894,-3.579,1,0.0294,0.122,0,0.0925,0.363,149.044
epworth,0.324,0.802,-5.912,0,0.0673,0.51,0.0022,0.0868,0.296,79.669
epworth,0.73,0.769,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948
epworth,0.706,0.57,-7.045,0,0.086,0.0225,0,0.0754,0.728,159.908
epworth,0.519,0.638,-4.112,1,0.0405,0.408,0,0.0885,0.531,155.988
epworth,0.635,0.891,-5.766,1,0.0377,0.00477,1.21e-5,0.0681,0.712,120.056
epworth,0.175,0.937,-5.236,1,0.359,3.37e-4,2.17e-4,0.207,0.539,207.645
epworth,0.381,0.707,-6.007,0,0.0361,0.00503,2.77e-4,0.121,0.259,84.366
epworth,0.545,0.908,-4.863,1,0.0674,0.0319,0,0.608,0.633,112.708
epworth,0.458,0.0533,-20.472,0,0.0289,0.863,0.138,0.11,0.155,96.864
epworth,0.598,0.504,-9.874,1,0.0731,0.186,2.21e-4,0.34,0.252,163.954
epworth,0.597,0.848,-5.841,1,0.0308,0.0372,2.33e-5,0.122,0.437,128.009
epworth,0.694,0.951,-5.4,0,0.0784,0.0523,0.00338,0.293,0.74,120.014
epworth,0.856,0.758,-7.675,1,0.389,0.101,0,0.0711,0.52,104.942
epworth,0.491,0.566,-6.445,0,0.0319,0.00933,2.26e-4,0.114,0.184,124.091
epworth,0.527,0.804,-4.168,1,0.0358,0.0104,0,0.105,0.221,107.486
epworth,0.485,0.737,-5.947,0,0.033,0.0402,0,0.0923,0.384,79.961
epworth,0.461,0.73,-3.262,1,0.0371,0.295,4.31e-6,0.383,0.253,145.197
epworth,0.503,0.568,-7.182,0,0.0341,0.00131,0.00144,0.0856,0.0705,126.935
epworth,0.588,0.809,-3.681,1,0.0309,0.0909,2.6e-6,0.347,0.512,119.009
epworth,0.429,0.755,-5.662,1,0.052,0.0125,2.79e-5,0.444,0.162,131.914
epworth,0.368,0.781,-5.6,0,0.0379,0.00913,3.08e-4,0.0477,0.211,58.534
epworth,0.657,0.689,-4.147,1,0.103,0.466,0,0.0638,0.266,90.043
epworth,0.578,0.946,-3.85,0,0.0482,0.00225,0.00412,0.0966,0.588,126.092
epworth,0.226,0.829,-3.838,1,0.0717,0.0371,4.47e-5,0.0772,0.346,78.142
epworth,0.402,0.809,-4.999,1,0.0438,0.303,0.0184,0.293,0.256,160.033
epworth,0.425,0.944,-3.871,1,0.0643,0.0119,2.5e-4,0.158,0.456,145.01
epworth,0.532,0.866,-4.44,0,0.0452,0.0762,7.34e-6,0.335,0.233,106.026
epworth,0.909,0.538,-6.532,0,0.0776,0.0579,0,0.081,0.809,130.028
epworth,0.346,0.552,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881
epworth,0.76,0.733,-6.704,1,0.0504,0.15,0,0.0647,0.611,111.975
epworth,0.652,0.799,-6.408,1,0.0339,0.0632,0.0565,0.0823,0.733,89.98
epworth,0.49,0.793,-6.698,1,0.0491,3.98e-4,9.13e-6,0.0895,0.0998,93.455
epworth,0.623,0.633,-8.212,1,0.0304,0.336,4.6e-5,0.147,0.895,121.119
epworth,0.571,0.802,-6.047,1,0.0413,0.104,6.87e-6,0.705,0.479,80.986
epworth,0.686,0.689,-5.671,1,0.0465,0.00219,6.96e-5,0.303,0.523,129.951
epworth,0.286,0.892,-3.767,0,0.0731,5.61e-4,1.6e-4,0.157,0.374,172.016
epworth,0.769,0.479,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051
epworth,0.576,0.714,-5.247,1,0.0595,0.395,0,0.115,0.321,144.981
epworth,0.599,0.816,-5.002,0,0.0514,0.00702,2.8e-6,0.508,0.595,126.02
epworth,0.47,0.89,-4.672,1,0.0456,7.98e-4,1.23e-5,0.196,0.628,154.982
epworth,0.6,0.688,-8.339,0,0.201,0.159,1.29e-5,0.409,0.0793,99.977
epworth,0.213,0.122,-12.952,0,0.0308,0.904,0.516,0.256,0.408,66.576
epworth,0.515,0.913,-4.345,1,0.0524,2.57e-4,0.00174,0.284,0.266,119.989
epworth,0.568,0.423,-11.305,1,0.025,0.67,0.00304,0.268,0.399,79.03
epworth,0.496,0.577,-5.305,1,0.0257,0.234,2.4e-6,0.109,0.381,143.014
epworth,0.651,0.94,-4.644,1,0.0333,0.0137,4.84e-5,0.407,0.875,119.962
epworth,0.695,0.651,-7.805,0,0.0413,0.0098,0.237,0.186,0.499,106.908
epworth,0.643,0.363,-11.738,1,0.0767,0.69,5.17e-5,0.115,0.23,139.865
epworth,0.545,0.675,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97
epworth,0.753,0.666,-7.981,1,0.0329,0.652,0.472,0.123,0.688,141.007
epworth,0.495,0.502,-9.307,1,0.0259,0.0127,0.689,0.068,0.0394,97.546
epworth,0.688,0.705,-7.311,1,0.0323,0.0647,0.124,0.118,0.696,112.019
epworth,0.712,0.861,-5.487,0,0.25,0.0182,6.09e-6,0.511,0.388,84.042
epworth,0.516,0.572,-9.037,1,0.0291,0.00715,0.254,0.139,0.351,160.023
epworth,0.262,0.361,-10.187,1,0.0333,0.508,0.00268,0.108,0.056,126.786
epworth,0.544,0.573,-5.694,1,0.0356,0.0958,0,0.104,0.233,122.977
epworth,0.625,0.637,-9.576,1,0.0376,0.0543,0,0.0732,0.606,100.001
epworth,0.479,0.742,-5.587,1,0.053900000000000003,0.0069,8.34e-4,0.278,0.454,142.909
epworth,0.201,0.327,-11.975,1,0.0285,0.869,0.846,0.117,0.0945,107.019
epworth,0.32,0.529,-7.595,1,0.0436,0.27,0.0136,0.0942,0.103,119.898
epworth,0.558,0.429,-8.372,0,0.0416,0.515,0,0.108,0.358,109.609
epworth,0.595,0.797,-5.828,1,0.0352,0.00259,0,0.11,0.425,135
epworth,0.488,0.824,-7.878,1,0.0823,0.0112,0,0.348,0.24,134.814
epworth,0.539,0.851,-7.214,0,0.0559,0.00473,0.0055,0.0637,0.19,132.943
epworth,0.513,0.781,-9.606,0,0.0348,0.00784,0.0336,0.16,0.102,126.974
epworth,0.652,0.474,-14.436,1,0.204,0.332,1.03e-6,0.0993,0.88,176.966
epworth,0.505,0.859,-5.012,0,0.0522,0.0475,0.00651,0.338,0.575,87.985
epworth,0.705,0.311,-12.344,1,0.0488,0.738,0,0.322,0.785,117.26
epworth,0.585,0.61,-8.388,1,0.0353,0.103,3.14e-4,0.113,0.0597,94.969
