Variable,Importance,Sign
danceability,5.176112109257297,POS
valence,2.976219595865807,NEG
instrumentalness,2.603093162103268,NEG
energy,1.5374732731833438,POS
acousticness,1.0322905888355542,POS
mode,1.0170704164701463,POS
speechiness,0.8110514916485555,POS
liveness,0.41544589291876644,POS
loudness,0.34667734067165085,NEG
tempo,0.00632412436795572,POS
