"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name","artist_name","album_name","producer","artist_id","album_id","key_name","mode_name","key_mode","Unnamed: 0","album_type","album_images","album_release_date","album_release_year","album_release_date_precision","track_id","artists","available_markets","disc_number","explicit","is_local","track_preview_url","track_number","track_uri","external_urls.spotify"
0.403,0.982,4,-3.218,1,0.106,0.0664,0.0126,0.273,0.807,179.868,"audio_features","2zjfw4eZ1WxVt1BX9bhwtB","spotify:track:2zjfw4eZ1WxVt1BX9bhwtB","https://api.spotify.com/v1/tracks/2zjfw4eZ1WxVt1BX9bhwtB","https://api.spotify.com/v1/audio-analysis/2zjfw4eZ1WxVt1BX9bhwtB",95107,4,"Stupid and Shallow","The Futureheads","The Futureheads (new version)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.546,0.748,5,-13.989,1,0.0384,0.505,0,0.16,0.9,145.58,"audio_features","6jWx7mD5oblxybTaWpiPZN","spotify:track:6jWx7mD5oblxybTaWpiPZN","https://api.spotify.com/v1/tracks/6jWx7mD5oblxybTaWpiPZN","https://api.spotify.com/v1/audio-analysis/6jWx7mD5oblxybTaWpiPZN",183267,4,"Hounds Of Love","Kate Bush","Hounds Of Love","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.643,0.809,7,-3.275,1,0.028,0.45,1.22e-06,0.154,0.499,112.677,"audio_features","4Ofg5uuH7qqDIXpAJMpXZV","spotify:track:4Ofg5uuH7qqDIXpAJMpXZV","https://api.spotify.com/v1/tracks/4Ofg5uuH7qqDIXpAJMpXZV","https://api.spotify.com/v1/audio-analysis/4Ofg5uuH7qqDIXpAJMpXZV",250107,4,"Rayando el Sol","Maná","Falta Amor","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.535,0.812,4,-4.679,1,0.112,0.0099,2.32e-05,0.138,0.796,174.887,"audio_features","7w7t2RqogJ2IisdriHbZ1o","spotify:track:7w7t2RqogJ2IisdriHbZ1o","https://api.spotify.com/v1/tracks/7w7t2RqogJ2IisdriHbZ1o","https://api.spotify.com/v1/audio-analysis/7w7t2RqogJ2IisdriHbZ1o",201240,4,"The Coast Is Always Changing","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.833,0.435,6,-8.481,0,0.0775,0.142,0.00182,0.242,0.353,120.071,"audio_features","0AXuoxP1Wbig33nTtgnSm3","spotify:track:0AXuoxP1Wbig33nTtgnSm3","https://api.spotify.com/v1/tracks/0AXuoxP1Wbig33nTtgnSm3","https://api.spotify.com/v1/audio-analysis/0AXuoxP1Wbig33nTtgnSm3",210227,4,"Storm & Stress","Henry And The Waiter","Storm & Stress","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.47,0.952,11,-3.641,0,0.134,0.000139,0.00283,0.386,0.398,170.058,"audio_features","7vjzFWG4neQ9YYMN9yZ9hr","spotify:track:7vjzFWG4neQ9YYMN9yZ9hr","https://api.spotify.com/v1/tracks/7vjzFWG4neQ9YYMN9yZ9hr","https://api.spotify.com/v1/audio-analysis/7vjzFWG4neQ9YYMN9yZ9hr",220573,4,"Helicopter","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.46,0.686,0,-5.948,0,0.0367,0.00146,0,0.375,0.252,148.054,"audio_features","6NMtzpDQBTOfJwMzgMX0zl","spotify:track:6NMtzpDQBTOfJwMzgMX0zl","https://api.spotify.com/v1/tracks/6NMtzpDQBTOfJwMzgMX0zl","https://api.spotify.com/v1/audio-analysis/6NMtzpDQBTOfJwMzgMX0zl",145588,4,"SKELETONS","Travis Scott","ASTROWORLD","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.296,0.841,9,-4.746,1,0.0487,0.00364,0.792,0.102,0.134,155.563,"audio_features","7dwCUb3OXadzAMWj5tzqyP","spotify:track:7dwCUb3OXadzAMWj5tzqyP","https://api.spotify.com/v1/tracks/7dwCUb3OXadzAMWj5tzqyP","https://api.spotify.com/v1/audio-analysis/7dwCUb3OXadzAMWj5tzqyP",232400,4,"So Here We Are","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.638,0.805,10,-5.749,0,0.14,0.00311,0.00195,0.195,0.66,160.187,"audio_features","5VPGr86ujVuIB04sapIZux","spotify:track:5VPGr86ujVuIB04sapIZux","https://api.spotify.com/v1/tracks/5VPGr86ujVuIB04sapIZux","https://api.spotify.com/v1/audio-analysis/5VPGr86ujVuIB04sapIZux",234547,4,"Positive Tension","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.399,0.982,6,-4.832,0,0.16,3e-04,0.000204,0.0947,0.224,160.264,"audio_features","0K3Xm2MeSXKbvydIJfTpuN","spotify:track:0K3Xm2MeSXKbvydIJfTpuN","https://api.spotify.com/v1/tracks/0K3Xm2MeSXKbvydIJfTpuN","https://api.spotify.com/v1/audio-analysis/0K3Xm2MeSXKbvydIJfTpuN",260973,4,"Like Eating Glass","Bloc Party","Silent Alarm","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
